user_no,accuracy,f1_score
2,0.9154228855721394,0.9153297412784376
4,0.834319526627219,0.8337756822581653
6,0.9683615819209039,0.9683401984934126
8,0.6842105263157895,0.6841133004926108
10,0.9848993288590604,0.9848921410404821
12,0.9392712550607287,0.9391505715411904
14,0.9846678023850085,0.9846590760599698
16,0.9325236167341431,0.9325028419856005
18,0.9833119383825417,0.9832762222460759
20,0.8108651911468813,0.8104592664719246
22,0.9971590909090909,0.9971590679805977
24,0.7605633802816901,0.7588411588411588
26,0.8826151560178306,0.882548771408942
28,0.8461538461538461,0.8452380952380951
30,0.9978401727861771,0.9978393563801986
32,0.784,0.7839446898405993
34,0.9426605504587156,0.9426095289242709
36,0.9593301435406698,0.9593112807269687
38,0.9854096520763187,0.9854096520763187
40,0.757455268389662,0.7574313000031623
