user_no,accuracy,f1_score
1,0.9359145527369827,0.9359116967570804
3,0.9056974459724951,0.9050815850815851
5,100.0,1.0
7,0.9545454545454546,0.9545350172215845
9,0.8726899383983573,0.8722368911005044
11,100.0,1.0
13,0.9171052631578948,0.9169083232245403
15,0.9627039627039627,0.9627021387584769
17,0.8459715639810427,0.8458252536323525
19,0.9583815028901734,0.9583769969417653
21,0.9322493224932249,0.9321890620405762
23,0.99880810488677,0.9988065790353347
25,0.8984910836762688,0.89816898218061
27,0.8351449275362319,0.8347495682210708
29,0.9176470588235294,0.9176442091421849
31,0.9734513274336283,0.9734430082256169
33,0.9974683544303797,0.9974682083888831
35,0.9592814371257485,0.9592388183133859
37,0.897239263803681,0.8970627393225332
39,0.9303977272727273,0.930309844017366
