user_no,accuracy,f1_score
2,0.9563719862227325,0.9563300224828213
4,0.9617224880382775,0.9617216117216117
6,0.9732246798603027,0.9732210506911942
8,0.8260869565217391,0.823076923076923
10,0.9887387387387387,0.9887386816141223
12,0.9291338582677166,0.9289753308892065
14,0.9205882352941176,0.920156555772994
16,0.9563182527301092,0.9562713185849332
18,0.9602194787379973,0.9602048019275475
20,0.8977099236641222,0.8973644759706347
22,0.9266802443991853,0.9263868065967018
24,0.9444444444444444,0.9443826473859844
26,0.9765100671140939,0.9765100377235731
28,0.7735849056603774,0.773145212428662
30,0.9842873176206509,0.9842857142857142
32,0.8854166666666666,0.8846153846153846
34,0.9208381839348079,0.9207478562900249
36,0.9566787003610109,0.9566454889048623
38,0.8557213930348259,0.8554526593062631
40,0.8453292496171516,0.8437328961054654
