user_no,accuracy,f1_score
1,0.9064417177914108,0.9063780704541976
2,0.9154228855721394,0.9153297412784376
3,0.9485488126649076,0.9484927840763566
4,0.8343195266272192,0.8337756822581653
5,0.9087893864013268,0.9084631244255658
6,0.968361581920904,0.9683401984934126
7,0.9587628865979382,0.9587602351459164
8,0.6842105263157895,0.6841133004926108
9,0.9485714285714286,0.9483856167918794
10,0.9848993288590604,0.984892141040482
11,100.0,1.0
12,0.9392712550607288,0.9391505715411904
13,0.8917748917748918,0.8914485019997702
14,0.9846678023850084,0.9846590760599698
15,0.9194756554307116,0.9194731138675841
16,0.9325236167341432,0.9325028419856004
17,0.8992094861660079,0.8992059431231862
18,0.9833119383825416,0.983276222246076
19,0.9059304703476484,0.905920634389534
20,0.8108651911468813,0.8104592664719246
21,0.972909305064782,0.9728911021119868
22,0.9971590909090908,0.9971590679805976
23,0.99880810488677,0.9988065790353348
24,0.7605633802816901,0.7588411588411588
25,0.7657342657342657,0.7650880827745155
26,0.8826151560178306,0.8825487714089421
27,0.9572649572649572,0.9572608793538664
28,0.8461538461538461,0.8452380952380951
29,0.9579710144927536,0.957945486758398
30,0.9978401727861772,0.9978393563801986
31,0.9804941482444732,0.9804920369966362
32,0.784,0.7839446898405993
33,0.9897039897039897,0.9897031539888684
34,0.9426605504587156,0.9426095289242707
35,0.9592088998763906,0.9592086505713724
36,0.9593301435406698,0.9593112807269688
37,0.9188092016238159,0.9186839788732394
38,0.9854096520763188,0.9854096520763188
39,0.8894736842105263,0.8893970893970893
40,0.757455268389662,0.7574313000031623
