user_no,accuracy,f1_score
1,0.9647058823529412,0.9646863315330289
2,0.9563719862227325,0.9563300224828212
3,0.9152276295133438,0.9149406528189912
4,0.9617224880382776,0.9617216117216116
5,0.8862815884476535,0.8862812179267876
6,0.9732246798603028,0.9732210506911942
7,0.9956616052060736,0.9956586636029324
8,0.8260869565217391,0.823076923076923
9,0.9656357388316152,0.9656255906255906
10,0.9887387387387389,0.9887386816141224
11,0.9518072289156626,0.9517598921281444
12,0.9291338582677166,0.9289753308892064
13,0.8618421052631579,0.8601946850329036
14,0.9205882352941176,0.920156555772994
15,0.9864712514092446,0.9864708215124616
16,0.9563182527301092,0.9562713185849332
17,0.9225512528473804,0.9225508509755084
18,0.9602194787379972,0.9602048019275476
19,0.9108280254777071,0.9099503251907616
20,0.8977099236641222,0.8973644759706347
21,0.9339339339339341,0.9333563787206172
22,0.9266802443991852,0.9263868065967018
23,0.9916864608076008,0.991683070518926
24,0.9444444444444444,0.9443826473859844
25,100.0,1.0
26,0.976510067114094,0.9765100377235733
27,0.8368263473053892,0.836694231187607
28,0.7735849056603774,0.7731452124286621
29,0.9468242245199409,0.9467124940966574
30,0.9842873176206508,0.9842857142857142
31,100.0,1.0
32,0.8854166666666666,0.8846153846153846
33,0.9896238651102464,0.9896199361848216
34,0.920838183934808,0.9207478562900248
35,0.9532934131736528,0.9531964799268736
36,0.9566787003610108,0.9566454889048625
37,0.8909657320872274,0.8901888341543515
38,0.8557213930348259,0.8554526593062631
39,0.9721549636803876,0.972145777955021
40,0.8453292496171516,0.8437328961054654
